"","Species","Country.of.Origin","quality_measure","score"
"1","Arabica","Brazil","Aroma",7.55310606060606
"2","Arabica","Brazil","Flavor",7.57356060606061
"3","Arabica","Brazil","Aftertaste",7.4405303030303
"4","Arabica","Brazil","Acidity",7.51143939393939
"5","Arabica","Brazil","Body",7.54454545454545
"6","Arabica","Brazil","Balance",7.53151515151515
"7","Arabica","Brazil","Uniformity",9.88492424242424
"8","Arabica","Brazil","Clean.Cup",9.85348484848485
"9","Arabica","Brazil","Sweetness",9.94939393939394
"10","Arabica","Brazil","Cupper.Points",7.56295454545455
"11","Arabica","Brazil","Total.Cup.Points",82.4059090909091
"12","Arabica","Burundi","Aroma",7.415
"13","Arabica","Burundi","Flavor",7.46
"14","Arabica","Burundi","Aftertaste",7.25
"15","Arabica","Burundi","Acidity",7.415
"16","Arabica","Burundi","Body",7.29
"17","Arabica","Burundi","Balance",7.415
"18","Arabica","Burundi","Uniformity",10
"19","Arabica","Burundi","Clean.Cup",10
"20","Arabica","Burundi","Sweetness",10
"21","Arabica","Burundi","Cupper.Points",7.58
"22","Arabica","Burundi","Total.Cup.Points",81.83
"23","Arabica","China","Aroma",7.64125
"24","Arabica","China","Flavor",7.625625
"25","Arabica","China","Aftertaste",7.484375
"26","Arabica","China","Acidity",7.578125
"27","Arabica","China","Body",7.57375
"28","Arabica","China","Balance",7.548125
"29","Arabica","China","Uniformity",9.958125
"30","Arabica","China","Clean.Cup",9.958125
"31","Arabica","China","Sweetness",9.91625
"32","Arabica","China","Cupper.Points",7.646875
"33","Arabica","China","Total.Cup.Points",82.9275
"34","Arabica","Colombia","Aroma",7.65306010928962
"35","Arabica","Colombia","Flavor",7.59710382513661
"36","Arabica","Colombia","Aftertaste",7.52469945355191
"37","Arabica","Colombia","Acidity",7.56
"38","Arabica","Colombia","Body",7.60950819672131
"39","Arabica","Colombia","Balance",7.70841530054645
"40","Arabica","Colombia","Uniformity",9.9344262295082
"41","Arabica","Colombia","Clean.Cup",9.94535519125683
"42","Arabica","Colombia","Sweetness",9.95267759562842
"43","Arabica","Colombia","Cupper.Points",7.62054644808743
"44","Arabica","Colombia","Total.Cup.Points",83.1065573770492
"45","Arabica","Costa Rica","Aroma",7.67137254901961
"46","Arabica","Costa Rica","Flavor",7.53725490196078
"47","Arabica","Costa Rica","Aftertaste",7.53450980392157
