"","Country","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","country_code","latitude","longitude"
"1","Afghanistan","0","0","0","0","0","0","1","3","1","2","3","3","1","4","1","3","2","3","10","6","10","1","5","3","8","12","11","34","39",8,"AF",33.93911,67.709953
"2","Albania","28","9","33","60","68","31","11","2","6","42","71","77","71","76","69","67","103","113","115","122","114","117","123","131","123","143","154","155","125",145,"AL",41.153332,20.168331
"3","Algeria","1,059","1,782","862","1,470","1,698","898","1,229","1,461","475","2,228","1,779","1,455","1,852","1,752","2,159","1,892","1,836","1,968","2,118","2,066","2,021","1,942","2,117","2,125","2,154","2,159","2,323","2,190","1,819",2260,"DZ",28.033886,1.659626
"4","Anguilla","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0",0,"AI",18.220554,-63.068615
"5","Antigua and Barbuda","1","1","0","0","0","0","0","1","0","0","1","1","0","1","1","1","1","1","1","2","2","3","3","2","2","3","2","4","4",5,"AG",17.060816,-61.796428
"6","Argentina","508","577","698","649","646","630","712","743","643","650","629","641","529","632","586","596","581","649","576","562","628","592","760","804","562","631.5170649","523.599001","627.3326881","598.6338354",635,"AR",-38.416097,-63.616672
"7","Armenia","0","0","2","2","3","31","54","59","104","116","136","182","183","179","211","198","171","188","212","184","201","191","188","207","194","201","207","207","205",230,"AM",40.069099,45.038189
"8","Aruba","16","5","2","5","7","7","5","5","5","15","12","13","11","12","10","11","12","11","9","3","2","2","2","2","4","5","3","5","8",8,"AW",12.52111,-69.968338
"9","Australia","746","789","851","802","844","808","845","899","929","977","921","898","1,121","1,004","1,004","1,200","1,174","1,197","1,279","1,362","1,514","1,564","1,766","1,667","1,681","1,920","1,881","2,078","2,071",2178,"AU",-25.274398,133.775136
"10","Azerbaijan","0","0","2","2","4","1","1","1","0","2","1","2","1","2","10","19","2","3","4","4","6","8","12","12","11","13","16","19","31",35,"AZ",40.143105,47.576927
"11","Bahamas","8","9","8","8","16","13","12","9","6","6","13","15","12","17","16","13","12","12","18","14","14","10","15","14","13","17","13","11","7",8,"BS",25.03428,-77.39628
"12","Bahrain","7","8","11","8","5","6","5","5","7","6","6","7","6","7","11","12","13","16","13","9","10","12","9","15","31","22","21","27","33",56,"BH",25.930414,50.637772
"13","Bangladesh","0","0","0","1","1","4","1","1","10","3","3","11","4","6","7","5","6","9","11","7","7","12","9","9","16","19","23","91","116",54,"BD",23.684994,90.356331
"14","Barbados","4","3","3","3","4","5","7","6","9","7","7","8","10","9","11","5","5","4","5","5","5","4","5","5","5","6","5","5","7",6,"BB",13.193887,-59.543198
"15","Belarus","0","0","5","10","30","64","28","80","14","12","27","28","32","64","93","163","211","258","291","171","180","158","201","200","257","259","275","333","383",379,"BY",53.709807,27.953389
"16","Belize","5","5","5","5","6","10","10","15","11","7","13","9","11","1","2","1","3","2","2","2","2","2","4","6","9","14","14","16","23",26,"BZ",17.189877,-88.49765
"17","Benin","0","0","0","0","0","0","0","0","2","4","0","2","9","3","1","2","2","4","5","6","8","13","8","6","11","16","12","16","22",12,"BJ",9.30769,2.315834
"18","Bermuda","4","5","5","4","4","4","7","4","4","5","5","5","8","1","1","2","3","1","1","2","3","4","4","6","10","8","5","5","5",5,"BM",32.321384,-64.75737
"19","Bosnia and Herzegovina","0","0","37","43","19","16","22","20","314","84","65","114","183","401","395","368","411","410","408","342","317","373","397","409","392","408","405","391","403",402,"BA",43.915886,17.679076
